Attack Points,Pred Goals,Pred Assist,Passes Received,Last 4 xG,Last 4xA
0,0,0,5.75,0,0.005
4,0.06,0.74,16.25,0,0.3425
1,0.09,0.03,4.25,0.0225,0.025
1,0.27,0,0,0,0
13,0.18,0.45,5.25,0.0225,0.0075
0,0.02,0.14,11,0.0125,0.125
0,0.14,0,3.5,0.0275,0.0075
0,0.03,0.2,9.25,0.0125,0.0425
0,0.02,0.04,5,0.02,0.05
3,0.04,0,2,0.0225,0.005
0,0.35,0,3.25,0.3775,0.0175
0,0.06,0.01,1.75,0.015,0.015
0,0,0.07,6.25,0,0.0375
0,0.03,0.1,5.5,0,0.005
0,0.29,0.2,5.5,0.3125,0.11
0,0.28,0,2.75,0.075,0.0025
0,0,0.34,15,0,0.175
0,0.14,0,0,0.0625,0.005
0,0.1,0.07,1.25,0.11,0.0075
0,0.11,0.01,14.5,0.0325,0.015
0,0.06,0,10.25,0.04,0.0175
0,0.18,0.04,2,0.08,0.09
0,0,0.01,2.5,0,0.01
0,0.14,0.18,17.25,0.065,0.2025
0,0,0.1,11.25,0,0.045
0,0.16,0,1.25,0.0125,0.0025
0,0.04,0.68,14.5,0.0625,0.3675
0,0.04,0.02,11,0.035,0.03
0,0.13,0.1,5,0.0525,0.04
2,0.03,0,1.25,0.01,0.0025
0,0.02,0.06,6.75,0.02,0.0825
0,0.36,0.04,6,0.2075,0.0125
0,0.05,0.04,5,0.06,0.0225
0,0.05,0,3.75,0.03,0.0125
0,0.18,0.08,9.75,0.0875,0.015
0,0.06,0.16,26.25,0.0425,0.1125
0,0.05,0.09,14.25,0.03,0.065
1,0.11,0.05,9,0.0175,0.0275
0,0,0,1.25,0,0.0075
0,0.04,0.09,13.75,0.02,0.06
0,0.35,0,0.75,0.1925,0.005
9,0.2,0.13,3.5,0.1175,0.1175
0,0.02,0.26,21,0.0075,0.0875
0,0.01,0.01,12.75,0.0325,0.0225
0,0,0.12,1.25,0,0.0075
0,0.1,0.08,2,0.06,0.0125
0,0.11,0.18,13.75,0.0525,0.1525
0,0,0,0.5,0,0
0,0.06,0.03,2.75,0.0075,0.005
0,0.13,0,3,0.0575,0
0,0.15,0.1,5.25,0.0925,0.01
0,0,0,1.25,0,0.005
0,0.06,0.25,2.75,0.0325,0.0075
0,0,0,7.25,0,0.0075
0,0.06,0.32,11.25,0.0475,0.1575
3,0,0.16,19.5,0,0.14
0,0.14,0,1,0.0075,0.0375
0,0.05,0.1,8.75,0,0.03
0,0.02,0.09,9,0,0.06
0,0,0,2,0,0.0075
0,0.07,0,3.75,0,0.0025
0,0.06,0.1,8,0.0375,0.09
0,0,0.03,13,0.0075,0.05
0,0.5,0,2,0.0875,0
0,0.09,0.02,1.5,0.0275,0.0125
0,0.13,0.02,3.75,0.05,0.0125
0,0.08,0.06,4.25,0.0275,0.0075
0,0,0.01,1,0,0.0025
0,0.01,0.03,1.75,0.0125,0.01
0,0.18,0.09,9.75,0.1975,0.22
0,0.03,0.01,3,0.015,0.005
0,0.1,0,1.25,0.02,0
0,0.06,0,1.25,0,0.0075
0,0,0,7.25,0,0.0075
