Attack Points,Pred Goals,Pred Assist,Passes Received,Last 4 xG,Last 4xA
11,1.12,0.42,11.75,0.9925,0.19
3,0.18,0.03,8.75,0.1475,0.03
3,0.62,0.17,11.25,0.155,0.025
0,0.84,0.19,4.5,0.2225,0.0375
0,0.13,0.11,21.75,0.15,0.1025
0,0.58,0.12,12.5,0.18,0.06
7,0.19,0.18,4.25,0.45,0.005
0,0.54,0.2,23.25,0.5475,0.0675
4,0.27,0.53,10.75,0.1625,0.19
0,0.3,0.51,10.75,0.18,0.14
0,1.07,0.04,10.75,0.44,0.0225
6,0.33,0.48,2.75,0.1275,0.005
13,0.51,0.24,9.75,0.5425,0.1825
4,0.38,0.23,10,0.2475,0.04
0,0.91,0.06,8.25,0.59,0.0525
0,0.67,0.19,12,0.4825,0.05
6,0.9,0.47,12.25,0.775,0.1775
0,0.57,0.21,6,0.105,0.065
0,0.33,0.09,4.5,0.3725,0.1125
0,0.17,0.38,16.25,0.02,0.0875
0,0.63,0.11,13.75,0.21,0.065
0,0.21,0.34,17,0.62,0.065
0,0,0,18,0.345,0.0225
3,0.33,0.32,6.5,0.245,0.015
0,0.54,0.08,27.25,0.5225,0.1225
3,0.65,0.38,2.25,0,0.0125
0,0.31,0.42,11.75,0.2825,0.0725
0,0.23,0.37,4.5,0.425,0.0075
4,0.59,0.41,13.75,0.5725,0.19
0,0.38,0.05,9.25,0.505,0.0425
0,0.72,0.03,10,0.435,0.0325
0,0.6,0.29,7.25,0.0875,0.135
0,0.57,0.21,5,0.0675,0.035
0,0.59,0.57,7.75,0.36,0.1025
9,0.37,0.51,13.5,0.3125,0.08
0,0.72,0.38,14.25,0.825,0.185
4,0.74,0.43,7.5,0.245,0.225
0,0.83,0,2,0,0.0075
0,0.34,0.05,12.75,0.1075,0.0375
7,0.34,0.03,8.75,0.38,0.02
7,0.3,0.02,12,0.1325,0.0125
3,0.61,0.11,8,0.2725,0.07
0,0.16,0.33,16,0.1,0.4425
5,0.79,0.14,11.25,0.3875,0.0575
15,0.55,0.08,24,0.1975,0.13
0,0.36,0.36,9,0.0575,0.0225
