Name,Team,Position,Price,Points
Trent Alexander-Arnold,LIV,DEF,55,4.91
Ben Chilwell,LEI,DEF,50,4.32
Jeff Schlupp,CPL,DEF,45,4.10
Cesar Azpilicueta,CHE,DEF,63,3.94
Andrew Robertson,LIV,DEF,68,3.91
Joel Matip,LIV,DEF,49,3.90
Harry Maguire,LEI,DEF,54,3.87
Virgil van Dijk,LIV,DEF,66,3.86
Nathan Ake,BOR,DEF,51,3.77
Ricardo Pereira,LEI,DEF,54,3.62
David Luiz,CHE,DEF,60,3.58
Antonio Rudiger,CHE,DEF,59,3.56
Jonny Evans,LEI,DEF,48,3.55
Emerson Palmieri,CHE,DEF,52,3.49
DeAndre Yedlin,NEW,DEF,45,3.34
Florian Lejeune,NEW,DEF,44,3.25
Sead Kolasinac,ARS,DEF,50,3.18
Paul Dummett,NEW,DEF,44,3.13
Adam Smith,BOR,DEF,43,3.07
Jamaal Lascelles,NEW,DEF,47,3.05
James Tomkins,CPL,DEF,43,3.02
Aaron Wan-Bissaka,CPL,DEF,45,2.96
Seamus Coleman,EVE,DEF,52,2.95
Chris Mepham,BOR,DEF,45,2.91
Patrick van Aanholt,CPL,DEF,55,2.89
Lucas Digne,EVE,DEF,52,2.88
Nathaniel Clyne,BOR,DEF,44,2.88
Scott Dann,CPL,DEF,44,2.80
Laurent Koscielny,ARS,DEF,54,2.78
Chris Lowe,HUD,DEF,44,2.72
Sokratis Papastathopoulos,ARS,DEF,51,2.68
Nacho Monreal,ARS,DEF,54,2.59
James Tarkowski,BUR,DEF,47,2.56
Terence Kongolo,HUD,DEF,43,2.50
Juninho Bacuna,HUD,DEF,42,2.49
Tommy Smith,HUD,DEF,44,2.44
Ben Mee,BUR,DEF,46,2.41
Michael Keane,EVE,DEF,48,2.33
Charlie Taylor,BUR,DEF,44,2.32
Christopher Schindler,HUD,DEF,42,2.28
Erik Durm,HUD,DEF,44,2.26
Kurt Zouma,EVE,DEF,50,2.25
Phillip Bardsley,BUR,DEF,42,2.15
Maya Yoshida,SOT,DEF,41,2.09
Yann Valery,SOT,DEF,41,1.98
Jan Bednarek,SOT,DEF,40,1.96
Jannik Vestergaard,SOT,DEF,46,1.90
Ryan Bertrand,SOT,DEF,48,1.87
Ryan Fredericks,WHU,DEF,45,1.73
Aaron Cresswell,WHU,DEF,50,1.70
Issa Diop,WHU,DEF,44,1.64
Declan Rice,WHU,DEF,47,1.61
Fabian Balbuena,WHU,DEF,42,1.54
Martin Montoya,BRI,DEF,43,0.00
Shane Duffy,BRI,DEF,47,0.00
Lewis Dunk,BRI,DEF,44,0.00
Bernardo,BRI,DEF,42,0.00
Lee Peltier,CAR,DEF,39,0.00
Sean Morrison,CAR,DEF,47,0.00
Bruno Ecuele Manga,CAR,DEF,44,0.00
Joe Bennett,CAR,DEF,44,0.00
Timothy Fosu-Mensah,FUL,DEF,45,0.00
Maxime Le Marchand,FUL,DEF,42,0.00
Tim Ream,FUL,DEF,42,0.00
Cyrus Christie,FUL,DEF,42,0.00
Joe Bryan,FUL,DEF,48,0.00
Kyle Walker,MCI,DEF,64,0.00
John Stones,MCI,DEF,52,0.00
Aymeric Laporte,MCI,DEF,60,0.00
Danilo,MCI,DEF,50,0.00
Diogo Dalot,MUN,DEF,53,0.00
Victor Lindelof,MUN,DEF,51,0.00
Chris Smalling,MUN,DEF,56,0.00
Marcos Rojo,MUN,DEF,49,0.00
Davinson Sanchez,TOT,DEF,58,0.00
Toby Alderweireld,TOT,DEF,60,0.00
Jan Vertonghen,TOT,DEF,59,0.00
Kieran Trippier,TOT,DEF,60,0.00
Danny Rose,TOT,DEF,58,0.00
Kiko,WAT,DEF,42,0.00
Adrian Mariappa,WAT,DEF,42,0.00
Craig Cathcart,WAT,DEF,45,0.00
Jose Holebas,WAT,DEF,48,0.00
Ryan Bennett,WOL,DEF,41,0.00
Conor Coady,WOL,DEF,45,0.00
Willy Boly,WOL,DEF,47,0.00
Matthew Doherty,WOL,DEF,54,0.00
Jonny,WOL,DEF,43,0.00
Alexandre Lacazette,ARS,FWD,93,7.68
Roberto Firmino,LIV,FWD,92,6.78
Jamie Vardy,LEI,FWD,90,5.71
Pierre-Emerick Aubameyang,ARS,FWD,108,5.54
Ashley Barnes,BUR,FWD,57,5.40
Salomon Rondon,NEW,FWD,59,5.38
Gonzalo Higuain,CHE,FWD,96,5.33
Callum Wilson,BOR,FWD,65,5.10
Chris Wood,BUR,FWD,62,4.93
Ayoze Perez,NEW,FWD,61,4.71
Joshua King,BOR,FWD,65,4.63
Wilfried Zaha,CPL,FWD,69,4.36
Dominic Calvert-Lewin,EVE,FWD,54,3.91
Javier Hernandez,WHU,FWD,61,3.91
Karlan Ahearne-Grant,HUD,FWD,50,3.77
Michy Batshuayi,CPL,FWD,65,3.63
Glenn Murray,BRI,FWD,63,0.00
